state_name,dist_name,area_type,Total,illiterate_males,literate_males,graduate_males,illiterate_females,literate_females,graduate_females,percent_graduate_males,percent_graduate_females,,,,
gujarat,Panch Mahals,Rural,591265,116596,361903,11446,63869,48897,1139,4,3,,,,
gujarat,Dohad,Rural,499970,162917,208479,7209,94900,33674,916,4,3,,,,
gujarat,Vadodara,Rural,712317,151183,415907,12666,82850,62377,931,4,2,,,,
gujarat,Narmada,Rural,176539,32261,94712,2849,26545,23021,363,4,2,,,,
gujarat,Bharuch,Rural,363602,50642,230713,8330,40313,41934,1070,4,3,,,,
gujarat,The Dangs,Rural,81533,11337,37470,837,14823,17903,255,3,2,,,,
gujarat,Navsari,Rural,365015,40341,216247,11655,38468,69959,3540,6,6,,,,
gujarat,Valsad,Rural,350835,60368,198701,10817,38759,53007,2727,6,6,,,,
gujarat,Surat,Rural,522076,77190,297985,14896,69462,77439,2779,5,4,,,,
gujarat,Tapi,Rural,312911,63363,131186,5170,63089,55273,1906,4,4,,,,
haryana,Panchkula,Rural,76862,11879,52414,3914,5704,6865,739,8,11,,,,
haryana,Ambala,Rural,163609,26671,122635,8562,5345,8958,1338,7,15,,,,
haryana,Yamunanagar,Rural,197413,40335,141456,9775,6980,8642,886,7,11,,,,
haryana,Kurukshetra,Rural,202945,39803,134623,9833,15093,13426,1112,8,9,,,,
haryana,Kaithal,Rural,227922,57900,136680,9686,19534,13808,1007,8,8,,,,
haryana,Karnal,Rural,278731,57115,182404,13075,21530,17682,1521,8,9,,,,
haryana,Panipat,Rural,166903,29191,112686,8133,13021,12005,972,8,9,,,,
haryana,Sonipat,Rural,271353,32633,189210,14488,20613,28897,2498,8,9,,,,
haryana,Jind,Rural,306551,62010,181737,11561,35157,27647,1584,7,6,,,,
haryana,Fatehabad,Rural,235393,58033,128298,7596,28197,20865,1130,6,6,,,,
haryana,Sirsa,Rural,306186,79166,170914,10661,31990,24116,1356,7,6,,,,
haryana,Hisar,Rural,374305,71312,215883,15661,48803,38307,2181,8,6,,,,
haryana,Bhiwani,Rural,364400,50349,236511,20886,39107,38433,2902,9,8,,,,
haryana,Rohtak,Rural,167107,19780,116991,9793,12055,18281,1502,9,9,,,,
haryana,Jhajjar,Rural,182177,16496,134481,11483,10686,20514,1882,9,10,,,,
haryana,Mahendragarh,Rural,178877,14921,132439,14289,13661,17856,1987,11,12,,,,
haryana,Rewari,Rural,183180,10993,130857,13712,15999,25331,2323,11,10,,,,
haryana,Gurgaon,Rural,125776,10877,95585,8336,6960,12354,970,9,8,,,,
haryana,Mewat,Rural,179590,59957,93601,3223,20262,5770,224,4,4,,,,
haryana,Faridabad,Rural,84943,12038,61697,5495,5674,5534,611,9,12,,,,
haryana,Palwal,Rural,164221,31213,111697,7945,13538,7773,639,8,9,,,,
himachal pradesh ,Chamba,Rural,108158,17163,60782,3528,15198,15015,902,6,7,,,,
himachal pradesh ,Kangra,Rural,289172,17998,208321,21881,13155,49698,7061,11,15,,,,
himachal pradesh ,Lahul & Spiti,Rural,15190,1277,7455,1010,2687,3771,392,14,11,,,,
himachal pradesh ,Kullu,Rural,178164,16836,90031,7488,27958,43339,2399,9,6,,,,
himachal pradesh ,Mandi,Rural,263288,19356,150988,11947,30749,62195,4268,8,7,,,,
himachal pradesh ,Hamirpur,Rural,117565,3397,65176,7732,7761,41231,3973,12,10,,,,
himachal pradesh ,Una,Rural,120797,7666,87072,6823,5436,20623,2662,8,13,,,,
himachal pradesh ,Bilaspur,Rural,94953,4965,61710,6852,5786,22492,2507,12,12,,,,
himachal pradesh ,Solan,Rural,176309,14942,107728,9236,15991,37648,3075,9,9,,,,
himachal pradesh ,Sirmaur,Rural,176279,22504,98048,5489,19057,36670,2017,6,6,,,,
himachal pradesh ,Shimla,Rural,237949,22791,133695,14244,26671,54792,4772,11,9,,,,
himachal pradesh ,Kinnaur,Rural,46863,3913,26052,2315,6071,10827,797,9,8,,,,
jammu and kashmir,Kupwara ,Rural,98749,16640,71886,5867,4309,5914,968,9,17,,,,
jammu and kashmir,Badgam ,Rural,105511,44179,48386,5212,7317,5629,964,11,18,,,,
jammu and kashmir,Leh(Ladakh) ,Rural,36555,4091,23163,1279,4298,5003,449,6,9,,,,
jammu and kashmir,Kargil ,Rural,21668,1848,16777,861,1110,1933,167,6,9,,,,
jammu and kashmir,Punch ,Rural,62082,10530,43052,3949,3479,5021,859,10,18,,,,
jammu and kashmir,Rajouri ,Rural,106417,23286,65145,4521,8009,9977,1334,7,14,,,,
jammu and kashmir,Kathua ,Rural,119093,24989,78165,4669,8254,7685,1373,6,18,,,,
jammu and kashmir,Baramula ,Rural,132561,36451,83168,8178,6183,6759,1128,10,17,,,,
jammu and kashmir,Bandipore ,Rural,59253,20399,30068,2533,5461,3325,419,9,13,,,,
jammu and kashmir,Srinagar ,Rural,2923,1288,1449,184,101,85,26,13,31,,,,
jammu and kashmir,Ganderbal ,Rural,45683,12666,28129,2718,2481,2407,417,10,18,,,,
jammu and kashmir,Pulwama ,Rural,77995,19648,50907,5833,2655,4785,1018,12,22,,,,
jammu and kashmir,Shupiyan ,Rural,48243,18958,24102,2255,2928,2255,315,10,14,,,,
jammu and kashmir,Anantnag ,Rural,118752,38373,68628,6316,5233,6518,1155,10,18,,,,
jammu and kashmir,Kulgam ,Rural,60666,21886,32503,3299,2894,3383,571,11,17,,,,
jammu and kashmir,Doda ,Rural,68637,15307,43760,2911,4523,5047,761,7,16,,,,
jammu and kashmir,Ramban ,Rural,48791,16777,26728,1547,3309,1977,228,6,12,,,,
jammu and kashmir,Kishtwar ,Rural,39788,12288,19577,1137,5246,2677,378,6,15,,,,
jammu and kashmir,Udhampur ,Rural,110123,29935,59959,2743,12528,7701,901,5,12,,,,
jammu and kashmir,Reasi ,Rural,79176,29711,37070,1187,7824,4571,356,4,8,,,,
jammu and kashmir,Jammu ,Rural,171924,24668,126709,6321,6639,13908,1977,5,15,,,,
jammu and kashmir,Samba ,Rural,58055,7285,45673,2663,1435,3662,832,6,23,,,,
jharkhand,Garhwa,Rural,162314,43091,80538,7687,28012,10673,922,10,9,,,,
jharkhand,Chatra,Rural,181064,53225,79623,6619,34117,14099,1024,9,8,,,,
jharkhand,Kodarma,Rural,112330,25498,63677,3925,16172,6983,431,7,7,,,,
jharkhand,Giridih,Rural,365662,81326,203096,14578,55063,26177,1308,8,5,,,,
jharkhand,Deoghar,Rural,232050,56712,123653,7260,35195,16490,625,6,4,,,,
jharkhand,Godda,Rural,220872,63186,106224,9023,35640,15822,1013,9,7,,,,
jharkhand,Sahibganj,Rural,283242,108070,85694,4814,71260,18218,710,6,4,,,,
jharkhand,Pakur,Rural,230249,82037,71057,3227,58952,18203,530,5,3,,,,
jharkhand,Dhanbad,Rural,195649,37148,127826,12232,18180,12495,1084,10,9,,,,
jharkhand,Bokaro,Rural,164878,38617,98650,8837,17399,10212,1048,9,11,,,,
jharkhand,Lohardaga,Rural,89430,19519,40241,2728,19261,10409,595,7,6,,,,
jharkhand,Purbi Singhbhum,Rural,172853,38155,97639,9075,23718,13341,1054,10,8,,,,
jharkhand,Palamu,Rural,240120,61448,125867,13133,36086,16719,1247,11,8,,,,
jharkhand,Latehar,Rural,106381,27606,46062,3527,22637,10076,663,8,7,,,,
jharkhand,Hazaribagh,Rural,262399,57596,147146,11461,36544,21113,1507,8,8,,,,
jharkhand,Ramgarh,Rural,123125,28157,67722,5896,18174,9072,748,9,9,,,,
jharkhand,Dumka,Rural,216335,48946,104794,5765,39463,23132,1176,6,6,,,,
jharkhand,Jamtara,Rural,105316,21098,59951,2738,13806,10461,357,5,4,,,,
jharkhand,Ranchi,Rural,427047,79984,204571,18088,86937,55555,3599,9,7,,,,
jharkhand,Khunti,Rural,142586,30217,55416,2555,35862,21091,767,5,4,,,,
